date,time,lux
07.06.2016,14:18:40,5512
07.06.2016,14:18:42,7000
07.06.2016,14:18:43,5528
07.06.2016,14:18:44,5528
07.06.2016,14:18:45,1000
07.06.2016,14:18:46,5528
07.06.2016,14:18:47,5545
07.06.2016,14:18:48,7000
07.06.2016,14:18:49,5545
07.06.2016,14:18:50,5545
07.06.2016,14:18:51,2000
07.06.2016,14:18:52,5561
07.06.2016,14:18:53,5561
07.06.2016,14:18:54,5545
07.06.2016,14:18:55,5545
07.06.2016,14:18:56,880
07.06.2016,14:18:57,5545
07.06.2016,14:18:58,5528
07.06.2016,14:18:59,5554
07.06.2016,14:19:00,5537
07.06.2016,14:19:02,5521
07.06.2016,14:19:03,5521
07.06.2016,14:19:04,5530
07.06.2016,14:19:05,5513
07.06.2016,14:19:06,5497
07.06.2016,14:19:07,5506
07.06.2016,14:19:08,5506
07.06.2016,14:19:09,5490
07.06.2016,14:19:10,1000
07.06.2016,14:19:11,5482
07.06.2016,14:19:12,5482
07.06.2016,14:19:13,5466
07.06.2016,14:19:14,5449
07.06.2016,14:19:15,5458
07.06.2016,14:19:16,5458
07.06.2016,14:19:17,5458
07.06.2016,14:19:18,5458
07.06.2016,14:19:19,55
07.06.2016,14:19:20,5458
07.06.2016,14:19:21,5458
07.06.2016,14:19:22,5458
07.06.2016,14:19:23,5458
07.06.2016,14:19:24,5458
07.06.2016,14:19:25,5458
07.06.2016,14:19:27,5458
07.06.2016,14:19:28,5458
07.06.2016,14:19:29,7000
07.06.2016,14:19:30,5458
07.06.2016,14:19:31,5458
07.06.2016,14:19:32,5475
07.06.2016,14:19:33,5475
07.06.2016,14:19:34,5475
07.06.2016,14:19:35,5466
07.06.2016,14:19:36,5466
07.06.2016,14:19:37,5466
07.06.2016,14:19:38,5466
07.06.2016,14:19:39,5499
07.06.2016,14:19:40,5482
07.06.2016,14:19:41,5499
07.06.2016,14:19:42,5499
07.06.2016,14:19:43,5490
07.06.2016,14:19:44,5506
07.06.2016,14:19:45,5506
07.06.2016,14:19:46,5506
07.06.2016,14:19:47,5522
07.06.2016,14:19:48,5522
07.06.2016,14:19:49,5497
07.06.2016,14:19:50,5513
07.06.2016,14:19:52,5513
07.06.2016,14:19:53,4000
07.06.2016,14:19:54,5513
07.06.2016,14:19:55,5513
07.06.2016,14:19:56,5530
07.06.2016,14:19:57,5530
07.06.2016,14:19:58,1000
07.06.2016,14:19:59,5513
07.06.2016,14:20:00,5530
07.06.2016,14:20:01,5513
07.06.2016,14:20:02,5513
07.06.2016,14:20:03,48
07.06.2016,14:20:04,5522
07.06.2016,14:20:05,5506
07.06.2016,14:20:06,5490
07.06.2016,14:20:07,5490
07.06.2016,14:20:08,5473
07.06.2016,14:20:09,2000
07.06.2016,14:20:10,5499
07.06.2016,14:20:11,5499
07.06.2016,14:20:12,5499
07.06.2016,14:20:13,5515
07.06.2016,14:20:14,5499
07.06.2016,14:20:15,1000
07.06.2016,14:20:16,5490
07.06.2016,14:20:17,5490
07.06.2016,14:20:18,5490
07.06.2016,14:20:20,5506
07.06.2016,14:20:21,5506
07.06.2016,14:20:22,5506
07.06.2016,14:20:23,55
07.06.2016,14:20:24,55
07.06.2016,14:20:25,55
07.06.2016,14:20:26,55
07.06.2016,14:20:27,55
07.06.2016,14:20:28,55
07.06.2016,14:20:29,55
07.06.2016,14:20:30,55
07.06.2016,14:20:31,55
07.06.2016,14:20:32,55
07.06.2016,14:20:33,55
07.06.2016,14:20:34,55
07.06.2016,14:20:35,55
07.06.2016,14:20:36,55
07.06.2016,14:20:37,55
07.06.2016,14:20:38,55
07.06.2016,14:20:39,55
07.06.2016,14:20:40,5609
07.06.2016,14:20:41,5609
07.06.2016,14:20:42,5616
07.06.2016,14:20:43,5633
07.06.2016,14:20:44,5633
07.06.2016,14:20:45,5640
07.06.2016,14:20:46,5656
07.06.2016,14:20:48,5673
07.06.2016,14:20:49,5647
07.06.2016,14:20:50,5680
07.06.2016,14:20:51,5680
07.06.2016,14:20:52,5680
07.06.2016,14:20:53,5680